"Subject" "Activity" "Axis" "meantBodyAccM" "meantBodyAccSD" "meantGravityAccM" "meantGravityAccSD" "meantBodyAccJerkM" "meantBodyAccJerkSD" "meantBodyGyroM" "meantBodyGyroSD" "meantBodyGyroJerkM" "meantBodyGyroJerkSD" "meanfBodyAccJerkM" "meanfBodyAccJerkSD" "meanfBodyGyroM" "meanfBodyGyroSD" "meanAngleGravityM"
"1" "LAYING" "X" 0.22159824394 -0.9280564692 -0.24888179828 -0.8968300184 0.0810865342 -0.958482112 -0.016553093978 -0.87354386782 -0.107270949192 -0.9186085208 -0.9570738838 -0.9641607086 -0.850249174586 -0.8822964508 0.4267062264
"1" "LAYING" "Y" -0.0405139534294 -0.83682740562 0.70554977346 -0.90772000676 0.0038382040088 -0.9241492736 -0.064486124088 -0.9510904402 -0.04151728689 -0.9679072436 -0.9224626098 -0.9322178704 -0.9521914948 -0.9512320494 -0.52034381798
"1" "LAYING" "Z" -0.11320355358 -0.826061401628 0.4458177198 -0.85236629022 0.010834236361 -0.9548551108 0.14868943626 -0.9082846626 -0.0740501211 -0.9577901596 -0.9480609042 -0.9605869872 -0.909302721 -0.9165825082 -0.35241310896
"1" "SITTING" "X" 0.261237565425532 -0.977229008297872 0.831509933404255 -0.968457145744681 0.0774825199574468 -0.986430711276596 -0.045350056512766 -0.977211283191489 -0.0936793807234043 -0.99173159212766 -0.986597022553191 -0.987492994468085 -0.976161464042553 -0.977904227021277 -0.591247480212766
"1" "SITTING" "Y" -0.00130828765170213 -0.922618641914894 0.204411592680851 -0.935517055957447 -0.000619102785106384 -0.981371965319149 -0.0919241549361702 -0.966473895319149 -0.0402118124255319 -0.989518068510638 -0.981579467021277 -0.982513909574468 -0.975838585319149 -0.962345042553192 -0.0604660253808511
"1" "SITTING" "Z" -0.104544182255319 -0.93958629106383 0.332043702765957 -0.949040933191489 -0.00336779235021277 -0.987910804468085 0.0629313811914894 -0.941425920851064 -0.046702627 -0.987935806382979 -0.986053092340425 -0.988339184893617 -0.951315544468085 -0.94391784106383 -0.218017225106383
"1" "STANDING" "X" 0.278917629056604 -0.995759901509434 0.942952000377358 -0.99376298509434 0.0753766542264151 -0.994604542264151 -0.0239877347979245 -0.987191946603774 -0.0996092129056604 -0.992945106981132 -0.994630797358491 -0.995073759245283 -0.986386786037736 -0.987497128679245 -0.743407887924528
"1" "STANDING" "Y" -0.0161375901037736 -0.973190056415094 -0.272983832264151 -0.981225957924528 0.00797573092830189 -0.98564873245283 -0.0593972209811321 -0.98773444 -0.0440627877924528 -0.995137917358491 -0.985418704528302 -0.987018226792453 -0.988984455849057 -0.987107727735849 0.270175032830189
"1" "STANDING" "Z" -0.110601817735849 -0.979775876981132 0.0134905823226415 -0.976324063584906 -0.00368524954709434 -0.992251177358491 0.074800751 -0.980645626981132 -0.0489505466716981 -0.992108467169811 -0.990752166037736 -0.992349818113208 -0.980773122830189 -0.98234533 0.0122528503773585
"1" "WALKING" "X" 0.277330758736842 -0.283740258842105 0.935223201473684 -0.976609642526316 0.0740416333157895 -0.113615602435789 -0.041830963526 -0.473535485894737 -0.0899975423705263 -0.207421854757895 -0.170546964549579 -0.133586606326316 -0.339032197115789 -0.516691938736842 -0.729247201052632
"1" "WALKING" "Y" -0.0173838185273684 0.114461336747368 -0.282165021263158 -0.971305961473684 0.0282721095884211 0.0670025007684211 -0.0695300462115789 -0.0546077686594737 -0.0398428709463158 -0.304468510631579 -0.0352255241130632 0.106739857136 -0.103059416434737 -0.0335081597884211 0.276953023473684
"1" "WALKING" "Z" -0.111148103547368 -0.260027902210526 -0.068102864 -0.947717226105263 -0.00416840617789474 -0.502699788526316 0.0849448173042105 -0.344266629473684 -0.0461309295021053 -0.404255452631579 -0.468999224631579 -0.534713440421053 -0.255940940315789 -0.436562227473684 0.0688589119894737
"1" "WALKING_DOWNSTAIRS" "X" 0.289188320408163 0.0300353383483878 0.931874418979592 -0.950559811632653 0.0541553164897959 -0.012283860544898 -0.0350781902989796 -0.458030542938775 -0.0739592036271429 -0.487027342244898 -0.0276638676122449 -0.0863278966402041 -0.352449631363265 -0.495422486102041 -0.744483753469388
"1" "WALKING_DOWNSTAIRS" "Y" -0.00991850461020408 -0.0319359434489796 -0.266610338979592 -0.937018658979592 0.0296504490408163 -0.101601390640816 -0.0909371290204082 -0.126349194938775 -0.0439902783367347 -0.238824827530612 -0.12866715764898 -0.134580008877551 -0.0557022524693878 -0.181414728657143 0.267245784693878
"1" "WALKING_DOWNSTAIRS" "Z" -0.107566190908163 -0.230434213204082 -0.0621199585938775 -0.895939695102041 -0.0109719730183673 -0.345735032326531 0.0900850142030612 -0.124702454242857 -0.0270461061061224 -0.268761480242857 -0.288334735714286 -0.401721464285714 -0.0318694271979592 -0.238443565306122 0.0650047072244898
"1" "WALKING_UPSTAIRS" "X" 0.255461689622641 -0.35470802509434 0.89335109754717 -0.956367027924528 0.101372729922642 -0.446843887735849 0.050549379754717 -0.544871104528302 -0.122232768011321 -0.614786508490566 -0.479875245660377 -0.461907025849057 -0.492611667924528 -0.565892490754717 -0.647195664339623
"1" "WALKING_UPSTAIRS" "Y" -0.0239531492643396 -0.00232026501698113 -0.362153364339623 -0.952849233207547 0.0194863076188679 -0.378274426037736 -0.166170015088679 0.00410518379811321 -0.0421485884509434 -0.601696656226415 -0.41344458754717 -0.381777065283019 -0.319474609056604 0.151538905566038 0.334763277358491
"1" "WALKING_UPSTAIRS" "Z" -0.0973020020943396 -0.0194792388471698 -0.075402939754717 -0.912379410377358 -0.0455625449113208 -0.706593530943396 0.0583595463981132 -0.50716867490566 -0.0407125527654717 -0.606332002264151 -0.685474353962264 -0.726040200754717 -0.453597213018868 -0.57170784 0.0741663682075472
"2" "LAYING" "X" 0.281373403958333 -0.974059464791667 -0.509754238125 -0.959014441458333 0.0825972511666667 -0.98587216875 -0.01847660675 -0.988275232916667 -0.101974134208333 -0.993235849166667 -0.985813630833333 -0.987250255833333 -0.9864311425 -0.988860685833333 0.617423415625
"2" "LAYING" "Y" -0.0181587397583333 -0.98027739875 0.752536639375 -0.988211865208333 0.012254788451875 -0.98317254125 -0.111800824583333 -0.982291608958333 -0.0358590176083333 -0.989567537916667 -0.982768250416667 -0.984987392916667 -0.983321635416667 -0.981910616458333 -0.519732551458333
"2" "LAYING" "Z" -0.107245610416667 -0.984233296875 0.646834879583333 -0.984230418125 -0.00180264895625 -0.988442014375 0.144882846104167 -0.960306560416667 -0.0701783020833333 -0.98803582125 -0.986197134583333 -0.989345368541667 -0.9626718875 -0.963174222291667 -0.478928233958333
"2" "SITTING" "X" 0.27708735173913 -0.986822279565217 0.940477273043478 -0.979988760869565 0.0722564387173913 -0.988055854130435 -0.0454706620434783 -0.985742027826087 -0.0936328412826087 -0.989709023043478 -0.987848793695652 -0.989459107391304 -0.982621389565217 -0.986808501521739 -0.774436094565217
"2" "SITTING" "Y" -0.0156879937282609 -0.950704499130435 -0.105630024498783 -0.956750273043478 0.0116954511323913 -0.977983955434783 -0.0599286797043478 -0.978919526956522 -0.0415602029130435 -0.990889614782609 -0.977139702826087 -0.980804228478261 -0.982100923695652 -0.977356188695652 0.155857278304348
"2" "SITTING" "Z" -0.109218272456522 -0.95982817173913 0.19872676876087 -0.954415873043478 0.00760546929869565 -0.98751821173913 0.0412277462173913 -0.959803708695652 -0.04358509665 -0.985542325652174 -0.985129050217391 -0.988570804130435 -0.959814822391304 -0.963522659782609 -0.118224398621739
"2" "STANDING" "X" 0.277911472222222 -0.987271889259259 0.896928566851852 -0.986685818703704 0.0747588597592593 -0.981085715555556 -0.0238623875712963 -0.972998629814815 -0.105562157888889 -0.979324000740741 -0.980973241666667 -0.983007923703704 -0.967037112037037 -0.97498812462963 -0.627180076111111
"2" "STANDING" "Y" -0.0184208270166667 -0.957304989259259 -0.370062696851852 -0.97419442037037 0.0103291774794444 -0.97105943962963 -0.0820396577592593 -0.971441996481481 -0.042241953537037 -0.983447258518519 -0.970851337962963 -0.973520241111111 -0.972576152962963 -0.97103605037037 0.337937911666667
"2" "STANDING" "Z" -0.105908536055556 -0.949741851296296 0.129747161222222 -0.945927078703704 -0.00837158846722222 -0.982841446481482 0.0878351695481481 -0.964856701851852 -0.0546539479425926 -0.973610118333333 -0.979775152037037 -0.984599905185185 -0.960627696111111 -0.969754295740741 -0.0678959805833333
"2" "WALKING" "X" 0.276426586440678 -0.423642838474576 0.91301733338983 -0.972693201355932 0.0618080696279661 -0.277530462620339 -0.0530258157347458 -0.561550255762712 -0.0818833429152542 -0.389549831525424 -0.304615322881356 -0.31431306340678 -0.429713536101695 -0.604053019152542 -0.66195998
"2" "WALKING" "Y" -0.0185949199145763 -0.0780912533118644 -0.34660709 -0.972116879661017 0.0182492679288136 -0.0166022362847458 -0.0482382316949153 -0.53845366779661 -0.0538299449067797 -0.634140436101695 -0.0787640836610169 -0.0153329520084746 -0.55477211220339 -0.533046952542373 0.321443011864407
"2" "WALKING" "Z" -0.105500357966102 -0.425257524915254 0.0847270871186441 -0.972072847627119 0.00789533706610169 -0.586090418983051 0.0828336633220339 -0.481085535084746 -0.0514939156830508 -0.435492677288136 -0.554956709661017 -0.615898188474576 -0.396659907457627 -0.559856635084746 -0.0368892833067797
"2" "WALKING_DOWNSTAIRS" "X" 0.27761534806383 0.0463666814446808 0.861831345531915 -0.940361759574468 0.110040615569574 0.147249143238298 -0.11594735287234 -0.320789230008511 -0.0581038498510638 -0.243940592553192 0.138120681087234 0.0499590624829787 -0.145775970406383 -0.379436674361702 -0.624985569787234
"2" "WALKING_DOWNSTAIRS" "Y" -0.0226614158361702 0.262881788951064 -0.325780100638298 -0.940068525531915 -0.00327959081489362 0.126828014557447 -0.00482329231914894 -0.415739144893617 -0.0421470257531915 -0.469396701106383 0.0962091607617021 0.0808333491276596 -0.361913824 -0.458732747446809 0.311800312978723
"2" "WALKING_DOWNSTAIRS" "Z" -0.116812942382979 -0.10283790806383 -0.0438890162723404 -0.931438313191489 -0.0209351677765957 -0.340122023191489 0.097173808906383 -0.279418388042553 -0.0710229816893617 -0.218266318606383 -0.271498721106383 -0.408227423191489 -0.0874944736085106 -0.422987665106383 0.0537293985574468
"2" "WALKING_UPSTAIRS" "X" 0.247164790395833 -0.304376406458333 0.790717418541667 -0.934407739791667 0.0744507839572917 -0.276121886479167 -0.0576912634583333 -0.439253058958333 -0.0828858001333333 -0.464854363125 -0.258639439729167 -0.365415441458333 -0.331643577458333 -0.476358845625 -0.477698945416667
"2" "WALKING_UPSTAIRS" "Y" -0.0214121132045833 0.108027279889583 -0.416214890416667 -0.92376745375 -0.00970985514333333 -0.185648954220833 -0.0320883097395833 -0.466298336666667 -0.0424053708458333 -0.645491337708333 -0.1878421317125 -0.243554146666667 -0.488086123958333 -0.459758488958333 0.373749042708333
"2" "WALKING_UPSTAIRS" "Z" -0.152513899520833 -0.112121021220833 -0.195888238891667 -0.878004056875 0.01948143925 -0.5737463525 0.0688374021666667 -0.163995791679167 -0.0445157481625 -0.467595961041667 -0.522728063333333 -0.625090981458333 -0.248601122 -0.218072471479167 0.165147457953125
"3" "LAYING" "X" 0.275516852741935 -0.982776639193548 -0.241758478064516 -0.982512193064516 0.0769811125806452 -0.98087931483871 -0.0208170540330645 -0.974545752096774 -0.10004449883871 -0.980328645 -0.980513202258064 -0.983122615967742 -0.970167262903226 -0.975986433709677 0.423505857096774
"3" "LAYING" "Y" -0.0189556785048387 -0.962057544516129 0.837032099677419 -0.981202749677419 0.0138041011306452 -0.968710724677419 -0.0718507159435484 -0.977272653709677 -0.0389771765322581 -0.986762741935484 -0.968752113709677 -0.971044012741936 -0.978099682258065 -0.977032495483871 -0.630062847096774
"3" "LAYING" "Z" -0.101300477506452 -0.96369103483871 0.48870318516129 -0.964807543870968 -0.00435625874355645 -0.982093162903226 0.137999561112903 -0.963505609032258 -0.06873387 -0.983338279516129 -0.979122344354839 -0.983711904677419 -0.962341960806452 -0.967256854193548 -0.346243070483871
"3" "SITTING" "X" 0.257197599134615 -0.971010120961538 0.901098984615385 -0.957324457884615 0.0726098418653846 -0.974467390384615 -0.0385365204807692 -0.965434768461538 -0.103605889057692 -0.972546905961538 -0.974950363461538 -0.976283534807692 -0.957550637692308 -0.968013062884615 -0.759811921923077
"3" "SITTING" "Y" -0.00350299841730769 -0.856617812115385 0.127303379245962 -0.903923008269231 0.00272529134230769 -0.953631390961538 -0.07524100275 -0.944854571346154 -0.0360909881807692 -0.978635908653846 -0.954170151346154 -0.956461756730769 -0.95617355 -0.939609988461538 -0.00632480140384615
"3" "SITTING" "Z" -0.0983579203269231 -0.875110175384615 0.139020582461538 -0.897736318269231 -0.00423348373557692 -0.974661565961538 0.0940113975530769 -0.926413710384615 -0.0590079966686538 -0.973751670576923 -0.970845669423077 -0.9771595725 -0.934967958846154 -0.930633150769231 -0.0783934904807692
"3" "STANDING" "X" 0.280046513278689 -0.96674254295082 0.93503077852459 -0.982020428032787 0.0750900622277049 -0.957086489344262 -0.0246626070770492 -0.900462227540984 -0.0994602620655738 -0.940937642459016 -0.957666856721311 -0.960570921803279 -0.901282267540984 -0.901985672459016 -0.71190381557377
"3" "STANDING" "Y" -0.0143376555065574 -0.893449307213115 -0.301735130327869 -0.957425321803279 0.00771663644590164 -0.941686785737705 -0.0585101918262295 -0.927788618196721 -0.0472415819016393 -0.968433747868853 -0.943497973606557 -0.943948547213115 -0.937711157213115 -0.923125941147541 0.289824125737705
"3" "STANDING" "Z" -0.101621722633148 -0.911419015081967 0.024763106752459 -0.928161577377049 -0.00807177934114754 -0.973059634918033 0.0665262054098361 -0.91236408147541 -0.0416832156688525 -0.958293011803279 -0.969174903442623 -0.975595949508197 -0.916172537704918 -0.919743846065574 0.00457098377868852
"3" "WALKING" "X" 0.275567462068966 -0.360356726034483 0.936506743275862 -0.97777159137931 0.0814745882660345 -0.26867964387931 -0.0256405192517241 -0.571869560172414 -0.0952398165017241 -0.385922986034483 -0.304694442551724 -0.296596633103448 -0.437845763793103 -0.615121369827586 -0.722804013965517
"3" "WALKING" "Y" -0.0171767844203448 -0.0699140652103448 -0.261986357931034 -0.962355639482759 0.0100591485 -0.0449619594258621 -0.0779150937413793 -0.563793260172414 -0.0387874651724138 -0.639087984137931 -0.140508590224138 -0.00561498755362069 -0.561526265344828 -0.568888673448276 0.262491889655172
"3" "WALKING" "Z" -0.112674859827586 -0.387411994310345 -0.138107866258621 -0.952091795 -0.00562264594827586 -0.52948611637931 0.0813485942827586 -0.476696411551724 -0.0503616100815517 -0.536664080344828 -0.514137255344828 -0.543529108103448 -0.418126217413793 -0.545896388103448 0.117403280068966
"3" "WALKING_DOWNSTAIRS" "X" 0.292423484693878 -0.0574100475102041 0.939057787755102 -0.950061129591837 0.0725689294489796 -0.0858010042244898 -0.13157327645102 -0.261653414014286 -0.0778701650285714 -0.285683162346939 -0.0906707125102041 -0.165442898685714 -0.129066574295918 -0.30863033105102 -0.766823525918367
"3" "WALKING_DOWNSTAIRS" "Y" -0.0193554079328571 -0.0331503723387755 -0.228829214285714 -0.946094637755102 0.0109707769183673 -0.111439194979592 -0.0139358043959184 -0.546740387959184 -0.0391567930959184 -0.680947338163265 -0.135938542632653 -0.14772824006198 -0.542694164081633 -0.553094540204082 0.240927177346939
